metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
auc|eight_minus_structural,0.09101689129908738,0.041509398047919706,0.1454178818120783,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
auc|ten_minus_eight,0.0018393446258960777,-0.022842526735458456,0.028542524789022455,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
auc|eight_minus_random,0.12596294665639976,0.08519452696375263,0.16918194057155062,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|eight_minus_structural,0.1804070362188766,0.11786640579102825,0.248767653669848,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|ten_minus_eight,-0.019815174386252816,-0.06640749302667195,0.01911332026497466,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|eight_minus_random,0.20904269513565346,0.1469819018800291,0.2744821623899812,15,configuration,15 configurations,,customer_service,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
auc|eight_minus_structural,0.03131433315361887,-0.0009266414141414181,0.06250795485929413,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
auc|ten_minus_eight,-0.034492134955646694,-0.07732896366148799,0.003964032716100385,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
auc|eight_minus_random,0.012531570048376775,-0.025637988621050586,0.047294653589874176,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|eight_minus_structural,0.027382741527478365,-0.02813851888851889,0.08682564243748452,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|ten_minus_eight,-0.03239851766167555,-0.08662361566308936,0.011275946275946282,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
cov20|eight_minus_random,0.008379973753702188,-0.05415897015371805,0.07286991172987406,15,configuration,15 configurations,,software_engineering,,,,canonical,8 vs 6 / 10 vs 8,tables/feature_freeze_decision.json,6cad2541a5f8f42b
