model,topology,edge_src,edge_dst,mesa_asr,langgraph_asr
gemma4:e4b,centralized,hub,worker_1,0.25,0.15
gemma4:e4b,centralized,hub,worker_2,0,0
gemma4:e4b,centralized,hub,worker_3,0.1,0.1
gemma4:e4b,centralized,hub,worker_4,0.05,0
gemma4:e4b,centralized,worker_1,hub,0.1,0.2
gemma4:e4b,centralized,worker_2,hub,0.25,0.15
gemma4:e4b,centralized,worker_3,hub,0.6,0.7
gemma4:e4b,centralized,worker_4,hub,0,0.05
gemma4:e4b,decentralized,agent_1,agent_2,0.05263157895,0.05263157895
gemma4:e4b,decentralized,agent_2,agent_3,0.05263157895,0.1052631579
gemma4:e4b,decentralized,agent_3,agent_4,0.1052631579,0.2105263158
gemma4:e4b,decentralized,agent_4,agent_5,0.4736842105,0.5263157895
gemma4:e4b,decentralized,agent_5,agent_1,0.9473684211,1
gemma4:e4b,hierarchical,ceo,manager_1,0.3,0.1578947368
gemma4:e4b,hierarchical,ceo,manager_2,0.3,0.1578947368
gemma4:e4b,hierarchical,manager_1,ceo,0.15,0
gemma4:e4b,hierarchical,manager_1,worker_1,0.15,0.1052631579
gemma4:e4b,hierarchical,manager_1,worker_2,0.25,0.1578947368
gemma4:e4b,hierarchical,manager_2,ceo,0.15,0.6315789474
gemma4:e4b,hierarchical,manager_2,worker_3,0.1,0.05263157895
gemma4:e4b,hierarchical,worker_1,manager_1,0.15,0.05263157895
gemma4:e4b,hierarchical,worker_2,manager_1,0.15,0.1052631579
gemma4:e4b,hierarchical,worker_3,manager_2,0.1,0
gemma4:e4b,hybrid,specialist_1,specialist_2,0.1052631579,0.1
gemma4:e4b,hybrid,specialist_1,team1_lead,0.1578947368,0.15
gemma4:e4b,hybrid,specialist_2,specialist_1,0,0
gemma4:e4b,hybrid,specialist_2,team1_lead,0.1052631579,0.1
gemma4:e4b,hybrid,specialist_3,team2_lead,0,0.05
gemma4:e4b,hybrid,supervisor,team1_lead,0.5263157895,0.1
gemma4:e4b,hybrid,supervisor,team2_lead,0.2631578947,0.3
gemma4:e4b,hybrid,team1_lead,specialist_1,0.2105263158,0.1
gemma4:e4b,hybrid,team1_lead,specialist_2,0.05263157895,0.05
gemma4:e4b,hybrid,team1_lead,supervisor,0.05263157895,0
gemma4:e4b,hybrid,team1_lead,team2_lead,0.1052631579,0
gemma4:e4b,hybrid,team2_lead,specialist_3,0.1578947368,0.25
gemma4:e4b,hybrid,team2_lead,supervisor,0.1052631579,0
gemma4:e4b,hybrid,team2_lead,team1_lead,0.1052631579,0
gemma4:e4b,mesh,agent_1,agent_2,0,0.05263157895
gemma4:e4b,mesh,agent_1,agent_3,0,0.05263157895
gemma4:e4b,mesh,agent_1,agent_4,0,0.05263157895
gemma4:e4b,mesh,agent_1,agent_5,0,0.05263157895
gemma4:e4b,mesh,agent_2,agent_1,0,0
gemma4:e4b,mesh,agent_2,agent_3,0,0
gemma4:e4b,mesh,agent_2,agent_4,0,0
gemma4:e4b,mesh,agent_2,agent_5,0,0
