metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
coverage_mesa,0.44565697774711055,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.4579909435915129,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.2906569777471105,0.19019998849979874,0.38843434343434347,5,configuration,"paired, configuration-level",gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.5566529718436739,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.5983196385103405,,,5,configuration,5 configurations,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.33665297184367393,0.29870820156019395,0.37459774212715385,5,configuration,"paired, configuration-level",gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.3190418403045737,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.3931598056725391,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.16404184030457375,0.05901356213113427,0.30385700321184195,5,configuration,"paired, configuration-level",qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.38679625658721584,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.5055451035947641,,,5,configuration,5 configurations,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.1667962565872158,0.05899294607486456,0.308188800446865,5,configuration,"paired, configuration-level",qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.2508812174524249,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.3369824256124566,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.09588121745242488,0.06809417334185137,0.1236682615629984,5,configuration,"paired, configuration-level",llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.3436788569760706,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.4469494592095211,,,5,configuration,5 configurations,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
