metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
coverage_mesa,0.44565697774711055,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.155,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.4579909435915129,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.2906569777471105,0.19019998849979874,0.38843434343434347,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",gemma4:e4b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.5566529718436739,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.22000000000000003,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.5983196385103405,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.33665297184367393,0.29870820156019395,0.37459774212715385,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",gemma4:e4b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6786940083951469,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.375,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.7748547907921723,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7005835297951047,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.44000000000000006,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8335815460103886,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7204279320721446,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.52,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8866932896325684,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7938060706687368,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.635,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9441888716385872,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.9055855207674469,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.8550000000000001,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9876660341555977,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
