metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
prevention_raw,0.27490753513938376,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_control_adjusted,0.32210353535353536,0.20955974025974022,0.44189474206349205,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
clean_utility_retained,0.9331944444444444,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
message_fpr,0.1414727538543328,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_raw,0.4044794615484718,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_control_adjusted,0.33128412970832877,0.1774013549498747,0.47744447225400455,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
clean_utility_retained,0.9198611111111111,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
message_fpr,0.1419260158684688,,,10,configuration,10 configurations,mesa_local_crossfitted_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_raw,0.4976734572616926,,,10,configuration,10 configurations,monitor_all,customer_service,,1.0,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_control_adjusted,0.3400042155295634,0.1555887464001994,0.5347692283652987,10,configuration,10 configurations,monitor_all,customer_service,,1.0,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
clean_utility_retained,0.9093055555555555,,,10,configuration,10 configurations,monitor_all,customer_service,,1.0,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
message_fpr,0.14007563585305077,,,10,configuration,10 configurations,monitor_all,customer_service,,1.0,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_raw,0.17487595266125175,,,10,configuration,10 configurations,random_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_control_adjusted,0.13981530357962582,0.001357362444318964,0.2935156204774905,10,configuration,10 configurations,random_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
clean_utility_retained,0.9735277777777778,,,10,configuration,10 configurations,random_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
message_fpr,0.14814830141889637,,,10,configuration,10 configurations,random_k,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_raw,0.271339682110947,,,10,configuration,10 configurations,random_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
prevention_control_adjusted,0.2162342311094429,0.07378332988917104,0.38366473729202916,10,configuration,10 configurations,random_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
clean_utility_retained,0.9471111111111112,,,10,configuration,10 configurations,random_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
message_fpr,0.14750247211810824,,,10,configuration,10 configurations,random_k,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
mesa_minus_random_adjusted,0.18228823177390954,0.08514414468878664,0.28426514465500397,10,configuration,"paired, configuration-level",,customer_service,,0.2,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
mesa_minus_random_adjusted,0.1150498985988859,0.008419887167545622,0.22570757890104357,10,configuration,"paired, configuration-level",,customer_service,,0.4,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
control_flip_rate,0.22590361445783136,,,332,control trial,matched no-withholding control arm,,customer_service,,,,canonical,structural_dynamic,tables/control_adjusted_prevention.json,269cce51c1b75324
